,URL,名称,家賃 + 管理費・共益費,敷金,礼金,所在地,駅徒歩,間取り,専有面積,築年数,階,向き,建物種別,部屋の特徴・設備,間取り詳細,構造,階建,築年月,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,備考
0,https://suumo.jp/chintai/jnc_000056269527/?bc=100277019786,プリムヴェール,76500,0.0,1.0,東京都西多摩郡日の出町大字平井,ＪＲ五日市線/武蔵引田駅 歩18分,2LDK,66.02m2,築11年,2階,南,アパート,バストイレ別、バルコニー、エアコン、クロゼット、シャワー付洗面台、TVインターホン、浴室乾燥機、室内洗濯置、シューズボックス、南向き、追焚機能浴室、角住戸、温水洗浄便座、洗面所独立、洗面化粧台、駐輪場、対面式キッチン、全居室収納、保証人不要、バイク置場、浄水器、浴室に窓、24時間換気システム、プロパンガス、BS、IT重説 対応物件、初期費用カード決済可、家賃カード決済可,洋6.3 洋6.1 LDK15.60,木造,2階/2階建,2011年9月,要,敷地内5500円,'22年5月中旬,仲介,-,309-524235,100277019786,-,2022/04/03,次回更新日は情報更新日より１５日以内,契約時にクリーニング費として￥60000が必要となります。/ 更新事務手数料11000円/ 収納手数料（月額）170円/ 24時間サポート費用（月額）330円
1,https://suumo.jp/chintai/jnc_000073192062/?bc=100276770492,オーガスタ,78000,0.0,1.0,東京都あきる野市油平,"ＪＲ五日市線/秋川駅 歩4分
ＪＲ五日市線/武蔵引田駅 歩25分",1LDK,45.06m2,築8年,1階,西,アパート,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、シャワー付洗面台、TVインターホン、浴室乾燥機、室内洗濯置、陽当り良好、シューズボックス、追焚機能浴室、角住戸、温水洗浄便座、脱衣所、洗面所独立、洗面化粧台、駐輪場、閑静な住宅地、敷金不要、照明付、全居室収納、全居室洋室、ウォークインクロゼット、保証人不要、24時間緊急通報システム、カードキー、全居室フローリング、玄関ホール、3面採光、エアコン2台、ネット使用料不要、床下収納、保証金不要、浴室に窓、複層ガラス、平坦地、浴室1坪以上、防犯ガラス、前面棟無、全室2面採光、2駅利用可、駅徒歩5分以内、駅徒歩10分以内、外壁サイディング、敷地内ごみ置き場、セキュリティ会社加入済、全居室6畳以上、プロパンガス、洗面所に窓、洗面所にドア、三面鏡付洗面化粧台、シャッター、室内物干機、年内入居可、年度内入居可、礼金1ヶ月、通風良好,洋7.8 LDK10.1,軽量鉄骨,1階/2階建,2015年3月,要,-,'22年5月中旬,仲介,二人入居可/子供可,124198,100276770492,-,2022/04/03,次回更新日は情報更新日より８日以内,メールでのお問い合わせの際は、セキュリティーにより、メールが届かない場合もございますのでお手数ですが、お電話番号を記載して頂けますと幸いです。当社でしたら、ほとんどの情報がお調べできますので、気になるお部屋をまとめてご紹介させて頂きます。初期費用のクレカ対応なども対応可能です。
2,https://suumo.jp/chintai/jnc_000072742595/?bc=100276405227,コンフォート,56500,0.0,0.0,東京都あきる野市秋川３,"ＪＲ五日市線/秋川駅 歩10分
ＪＲ五日市線/武蔵引田駅 歩22分",1K,23.96m2,築18年,3階,南,マンション,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、TVインターホン、浴室乾燥機、室内洗濯置、シューズボックス、システムキッチン、南向き、洗面所独立、洗面化粧台、駐輪場、最上階、照明付、保証人不要、24時間換気システム、2駅利用可、駅徒歩10分以内、敷地内ごみ置き場、プロパンガス、BS、敷金・礼金不要、初期費用カード決済可、家賃カード決済可,洋8.5,鉄骨,3階/3階建,2004年9月,要,敷地内6600円,'22年4月下旬,仲介,事務所利用不可,-,100276405227,-,2022/04/01,次回更新日は情報更新日より８日以内□,五日市線武蔵引田駅徒歩22分/巡回管理
3,https://suumo.jp/chintai/jnc_000013648641/?bc=100277019801,コンフォート,56500,0.0,0.0,東京都あきる野市秋川３,"ＪＲ五日市線/秋川駅 歩10分
ＪＲ五日市線/武蔵引田駅 歩22分",1K,23.96m2,築18年,3階,南,マンション,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、TVインターホン、浴室乾燥機、室内洗濯置、シューズボックス、システムキッチン、南向き、洗面所独立、洗面化粧台、駐輪場、照明付、保証人不要、24時間換気システム、プロパンガス、BS、IT重説 対応物件、初期費用カード決済可、家賃カード決済可,-,鉄骨,3階/3階建,2004年9月,要,敷地内6600円,'22年6月中旬,仲介,-,309-2978079,100277019801,-,2022/04/03,次回更新日は情報更新日より１５日以内,契約時にクリーニング費として￥40000が必要となります。/ 更新事務手数料11000円/ 収納手数料（月額）170円/ 24時間サポート費用（月額）330円
4,https://suumo.jp/chintai/jnc_000072930302/?bc=100275358996,コンフォート,58500,0.0,0.0,東京都あきる野市秋川３,"ＪＲ五日市線/秋川駅 歩10分
ＪＲ五日市線/武蔵引田駅 歩22分
ＪＲ五日市線/東秋留駅 歩38分",1K,24.39m2,築18年,3階,南,マンション,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、浴室乾燥機、室内洗濯置、シューズボックス、システムキッチン、南向き、角住戸、洗面所独立、洗面化粧台、最上階、照明付、出窓、保証人不要、保証金不要、24時間換気システム、3駅以上利用可、駅徒歩10分以内、敷地内ごみ置き場、プロパンガス、BS、敷金・礼金不要,洋8.5,鉄骨,3階/3階建,2004年9月,要,-,'22年4月下旬,仲介,-,55522814,100275358996,-,2022/04/03,次回更新日は情報更新日より８日以内,五日市線武蔵増戸駅徒歩37分/火災保険加入
5,https://suumo.jp/chintai/jnc_000072429768/?bc=100272759288,アビオン多摩川,123000,1.0,0.0,東京都稲城市押立,"ＪＲ南武線/矢野口駅 歩5分
京王相模原線/京王よみうりランド駅 歩19分
ＪＲ南武線/稲城長沼駅 歩15分",3LDK,73.36m2,築24年,3階,南東,マンション,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、シャワー付洗面台、室内洗濯置、陽当り良好、シューズボックス、追焚機能浴室、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、押入、光ファイバー、外壁タイル張り、礼金不要、閑静な住宅地、BS・CS、独立型キッチン、振分、保証人不要、単身者相談、敷金1ヶ月、二人入居相談、玄関ホール、2沿線利用可、ネット専用回線、駅まで平坦、緑豊かな住宅地、保証金不要、一部フローリング、駅徒歩5分以内、駅徒歩10分以内、敷地内ごみ置き場、東南向き、LDK12畳以上、和室、都市ガス、洗面所にドア、南面バルコニー、BS、高速ネット対応、初期費用カード決済可,和6 洋6.5 洋5.1 LDK14.2,鉄筋コン,3階/4階建,1998年6月,2.15万円2年,敷地内11000円,相談,仲介,単身者可/二人入居可,R01214-196951,100272759288,-,2022/04/03,次回更新日は情報更新日より８日以内,★ＷＥＢでのリモート対応も始めました！遠方の方やコロナでご来店がご不安な方は是非ご利用下さい★お部屋探しはタウンハウジング新百合ヶ丘店までお任せ下さい♪★契約金の一部がクレジットカード決済可能です。インターネット掲載物件のほぼ全てがご紹介可能です♪お家賃交渉や礼金交渉、初期費用のご相談などお気軽にお申し付け下さい！他社さんの物件もご紹介・ご案内可能です！★
6,https://suumo.jp/chintai/jnc_000073192059/?bc=100276022844,アビオン多摩川,123000,1.0,0.0,東京都稲城市押立,"ＪＲ南武線/矢野口駅 歩3分
京王相模原線/京王よみうりランド駅 歩21分
京王相模原線/京王稲田堤駅 歩25分",3LDK,73.36m2,築24年,2階,南東,マンション,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、室内洗濯置、シューズボックス、追焚機能浴室、脱衣所、エレベーター、洗面所独立、洗面化粧台、駐輪場、宅配ボックス、押入、礼金不要、独立型キッチン、保証人不要、二人入居相談、玄関ホール、2沿線利用可、クロゼット2ヶ所、2駅利用可、3駅以上利用可、駅徒歩5分以内、駅徒歩10分以内、敷地内ごみ置き場、平面駐車場、東南向き、LDK12畳以上、和室、都市ガス、BS、初期費用カード決済可,和6 洋6.5 洋5.1 LDK14.2,鉄筋コン,2階/4階建,1998年10月,2.15万円2年,敷地内11000円,相談,仲介,-,1144276,100276022844,-,2022/04/03,次回更新日は情報更新日より８日以内,鍵交換代：16500円 退去時のクリーニング費用(実費)は借主負担になります ◆お持ちのクレジットカードで初期費用の決済が可能です◆初期費用のお見積り等、お気軽にお問い合わせくださいませ◆0120-973-426◆
7,https://suumo.jp/chintai/jnc_000072610967/?bc=100272803764,アビオン多摩川,125000,1.0,0.0,東京都稲城市押立,"ＪＲ南武線/矢野口駅 歩5分
京王相模原線/京王よみうりランド駅 歩19分
ＪＲ南武線/稲城長沼駅 歩15分",3LDK,73.36m2,築24年,4階,南,マンション,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、シャワー付洗面台、室内洗濯置、陽当り良好、シューズボックス、追焚機能浴室、脱衣所、エレベーター、洗面所独立、洗面化粧台、駐輪場、押入、光ファイバー、外壁タイル張り、礼金不要、閑静な住宅地、BS・CS、独立型キッチン、全居室収納、オートバス、振分、保証人不要、単身者相談、敷金1ヶ月、二人入居相談、玄関ホール、2沿線利用可、ネット専用回線、駅まで平坦、緑豊かな住宅地、保証金不要、平坦地、南面リビング、一部フローリング、南面3室、2駅利用可、敷地内ごみ置き場、LDK12畳以上、都市ガス、洗面所にドア、南面バルコニー、玄関収納、BS、高速ネット対応、初期費用カード決済可、通風良好,和6 洋6.5 洋5.1 LDK14.2,鉄筋コン,4階/4階建,1998年10月,2.15万円2年,敷地内11000円,相談,仲介,単身者可/二人入居可,R01084-012698,100272803764,-,2022/04/03,次回更新日は情報更新日より８日以内,タウンハウジングは創業40年以上の安心実績。直営100店舗以上の独自ネットワークで、インターネットで募集しているほぼ全ての物件を取り扱っております。他社さんが掲載している物件情報ご紹介できます。何社も足を運ぶ事なく沢山の物件から素敵なお部屋が見つけられます。スタッフ一同お客様の御来店を心よりお待ちしております。
8,https://suumo.jp/chintai/jnc_000055678439/?bc=100277115581,イングリースヒル 303号室,78500,0.0,0.0,東京都稲城市東長沼,"京王相模原線/稲城駅 歩7分
ＪＲ南武線/稲城長沼駅 歩10分
京王相模原線/京王よみうりランド駅 歩15分",3DK,51.03m2,築32年,3階,南,マンション,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、陽当り良好、角住戸、脱衣所、洗面所独立、洗面化粧台、2口コンロ、駐輪場、押入、光ファイバー、外壁タイル張り、礼金不要、閑静な住宅地、敷金不要、全居室収納、振分、保証人不要、単身者相談、二人入居相談、24時間緊急通報システム、玄関ホール、2沿線利用可、ネット専用回線、駅まで平坦、緑豊かな住宅地、眺望良好、保証金不要、天袋、平坦地、南面2室、一部フローリング、敷地内ごみ置き場、洗面所にドア、南面バルコニー、高速ネット対応、敷金・礼金不要、初期費用カード決済可,和6 洋6 洋6 DK6.0,鉄骨,3階/4階建,1991年4月,2万円2年,敷地内9900円,即,仲介,単身者可/二人入居可,R01093-024007,100277115581,12戸,2022/04/03,次回更新日は情報更新日より８日以内,★ＷＥＢでのリモート対応も始めました！遠方の方やコロナでご来店がご不安な方は是非ご利用下さい★お部屋探しはタウンハウジングまでお任せ下さい♪★契約金の一部がクレジットカード決済可能です。インターネット掲載物件のほぼ全てがご紹介可能です♪お家賃交渉や礼金交渉、初期費用のご相談などお気軽にお申し付け下さい！他社さんの物件もご紹介・ご案内可能です！★
9,https://suumo.jp/chintai/jnc_000029046310/?bc=100277041278,ＪＲ青梅線 拝島駅 2階建 築5年,90000,1.0,0.0,東京都昭島市美堀町５,"ＪＲ青梅線/拝島駅 歩6分
西武拝島線/拝島駅 歩6分
ＪＲ五日市線/拝島駅 歩6分",2LDK,49.58m2,築5年,2階,南,アパート,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、シャワー付洗面台、TVインターホン、室内洗濯置、陽当り良好、シューズボックス、システムキッチン、南向き、追焚機能浴室、温水洗浄便座、脱衣所、洗面所独立、洗面化粧台、駐輪場、光ファイバー、最上階、3口以上コンロ、対面式キッチン、ロフト、オートバス、グリル付、全居室洋室、防犯シャッター、全居室フローリング、ガスレンジ付、玄関ホール、駅まで平坦、浴室に窓、南面リビング、始発駅、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、敷地内ごみ置き場、築5年以内、平面駐車場、プロパンガス、南面バルコニー、BS、通風良好,洋6 洋5.7 LDK10.5 ロフト 4.5,木造,2階/2階建,2017年6月,1.8万円2年,敷地内8000円,即,仲介,-,2514202,100277041278,-,2022/04/03,次回更新日は情報更新日より１５日以内,-
